order_details_id	order_id	pizza_id	quantity	order_date	order_time	unit_price	total_price	pizza_size	pizza_category	pizza_ingredients	pizza_name			
144	60	four_cheese_m	1	01/01/2015	20:05:16	14.75	14.75	M	Veggie	Ricotta Cheese, Gorgonzola Piccante Cheese, Mozzarella Cheese, Parmigiano Reggiano Cheese, Garlic	The Four Cheese Pizza			
145	61	bbq_ckn_m	1	01/01/2015	20:08:43	16.75	16.75	M	Chicken	Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce	The Barbecue Chicken Pizza			
146	61	ital_supr_l	1	01/01/2015	20:08:43	20.75	20.75	L	Supreme	Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic	The Italian Supreme Pizza			
147	62	bbq_ckn_m	1	01/01/2015	20:50:16	16.75	16.75	M	Chicken	Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce	The Barbecue Chicken Pizza			
148	62	spinach_supr_m	1	01/01/2015	20:50:16	16.5	16.5	M	Supreme	Spinach, Red Onions, Pepperoni, Tomatoes, Artichokes, Kalamata Olives, Garlic, Asiago Cheese	The Spinach Supreme Pizza			
149	63	pep_msh_pep_m	1	01/01/2015	20:51:42	14.5	14.5	M	Classic	Pepperoni, Mushrooms, Green Peppers	The Pepperoni, Mushroom, and Peppers Pizza			
150	64	big_meat_s	1	01/01/2015	20:52:08	12	12	S	Classic	Bacon, Pepperoni, Italian Sausage, Chorizo Sausage	The Big Meat Pizza			
151	65	pep_msh_pep_s	1	01/01/2015	21:16	11	11	S	Classic	Pepperoni, Mushrooms, Green Peppers	The Pepperoni, Mushroom, and Peppers Pizza			
152	65	sicilian_s	1	01/01/2015	21:16	12.25	12.25	S	Supreme	Coarse Sicilian Salami, Tomatoes, Green Olives, Luganega Sausage, Onions, Garlic	The Sicilian Pizza			
153	65	spicy_ital_s	1	01/01/2015	21:16	12.5	12.5	S	Supreme	Capocollo, Tomatoes, Goat Cheese, Artichokes, Peperoncini verdi, Garlic	The Spicy Italian Pizza			
154	65	spinach_supr_m	1	01/01/2015	21:16	16.5	16.5	M	Supreme	Spinach, Red Onions, Pepperoni, Tomatoes, Artichokes, Kalamata Olives, Garlic, Asiago Cheese	The Spinach Supreme Pizza			
155	66	classic_dlx_m	1	01/01/2015	21:47:55	16	16	M	Classic	Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon	The Classic Deluxe Pizza			
156	66	ital_cpcllo_m	1	01/01/2015	21:47:55	16	16	M	Classic	Capocollo, Red Peppers, Tomatoes, Goat Cheese, Garlic, Oregano	The Italian Capocollo Pizza			
157	67	southw_ckn_l	1	01/01/2015	22:03:40	20.75	20.75	L	Chicken	Chicken, Tomatoes, Red Peppers, Red Onions, Jalapeno Peppers, Corn, Cilantro, Chipotle Sauce	The Southwest Chicken Pizza			
158	68	classic_dlx_m	1	01/01/2015	22:07:32	16	16	M	Classic	Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon	The Classic Deluxe Pizza			
159	68	ital_supr_l	1	01/01/2015	22:07:32	20.75	20.75	L	Supreme	Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic	The Italian Supreme Pizza			
160	68	ital_supr_m	1	01/01/2015	22:07:32	16.5	16.5	M	Supreme	Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic	The Italian Supreme Pizza			
161	69	bbq_ckn_l	1	01/01/2015	22:12:13	20.75	20.75	L	Chicken	Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce	The Barbecue Chicken Pizza			
162	70	ital_veggie_s	1	01/02/2015	11:38:51	12.75	12.75	S	Veggie	Eggplant, Artichokes, Tomatoes, Zucchini, Red Peppers, Garlic, Pesto Sauce	The Italian Vegetables Pizza			
163	70	soppressata_l	1	01/02/2015	11:38:51	20.75	20.75	L	Supreme	Soppressata Salami, Fontina Cheese, Mozzarella Cheese, Mushrooms, Garlic	The Soppressata Pizza			
164	71	thai_ckn_l	1	01/02/2015	11:40:50	20.75	20.75	L	Chicken	Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce	The Thai Chicken Pizza			
165	72	spinach_fet_l	1	01/02/2015	11:57:25	20.25	20.25	L	Veggie	Spinach, Mushrooms, Red Onions, Feta Cheese, Garlic	The Spinach and Feta Pizza			
166	73	thai_ckn_s	1	01/02/2015	11:58:56	12.75	12.75	S	Chicken	Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce	The Thai Chicken Pizza			
167	74	five_cheese_l	1	01/02/2015	12:01:12	18.5	18.5	L	Veggie	Mozzarella Cheese, Provolone Cheese, Smoked Gouda Cheese, Romano Cheese, Blue Cheese, Garlic	The Five Cheese Pizza			
168	74	mexicana_l	1	01/02/2015	12:01:12	20.25	20.25	L	Veggie	Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic	The Mexicana Pizza			
169	74	spin_pesto_s	1	01/02/2015	12:01:12	12.5	12.5	S	Veggie	Spinach, Artichokes, Tomatoes, Sun-dried Tomatoes, Garlic, Pesto Sauce	The Spinach Pesto Pizza			
170	74	spinach_supr_l	1	01/02/2015	12:01:12	20.75	20.75	L	Supreme	Spinach, Red Onions, Pepperoni, Tomatoes, Artichokes, Kalamata Olives, Garlic, Asiago Cheese	The Spinach Supreme Pizza			
171	75	ital_supr_s	1	01/02/2015	12:10:15	12.5	12.5	S	Supreme	Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic	The Italian Supreme Pizza			
172	75	mediterraneo_l	1	01/02/2015	12:10:15	20.25	20.25	L	Veggie	Spinach, Artichokes, Kalamata Olives, Sun-dried Tomatoes, Feta Cheese, Plum Tomatoes, Red Onions	The Mediterranean Pizza			
173	75	napolitana_l	1	01/02/2015	12:10:15	20.5	20.5	L	Classic	Tomatoes, Anchovies, Green Olives, Red Onions, Garlic	The Napolitana Pizza			
174	76	big_meat_s	1	01/02/2015	12:21:17	12	12	S	Classic	Bacon, Pepperoni, Italian Sausage, Chorizo Sausage	The Big Meat Pizza			
175	76	hawaiian_l	1	01/02/2015	12:21:17	16.5	16.5	L	Classic	Sliced Ham, Pineapple, Mozzarella Cheese	The Hawaiian Pizza			
176	76	ital_veggie_l	1	01/02/2015	12:21:17	21	21	L	Veggie	Eggplant, Artichokes, Tomatoes, Zucchini, Red Peppers, Garlic, Pesto Sauce	The Italian Vegetables Pizza			
177	76	spicy_ital_l	1	01/02/2015	12:21:17	20.75	20.75	L	Supreme	Capocollo, Tomatoes, Goat Cheese, Artichokes, Peperoncini verdi, Garlic	The Spicy Italian Pizza			
178	77	bbq_ckn_m	1	01/02/2015	12:22:46	16.75	16.75	M	Chicken	Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce	The Barbecue Chicken Pizza			
179	77	hawaiian_m	1	01/02/2015	12:22:46	13.25	13.25	M	Classic	Sliced Ham, Pineapple, Mozzarella Cheese	The Hawaiian Pizza			
180	78	big_meat_s	1	01/02/2015	12:28:14	12	12	S	Classic	Bacon, Pepperoni, Italian Sausage, Chorizo Sausage	The Big Meat Pizza			
181	78	classic_dlx_s	1	01/02/2015	12:28:14	12	12	S	Classic	Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon	The Classic Deluxe Pizza			
182	78	four_cheese_l	1	01/02/2015	12:28:14	17.95	17.95	L	Veggie	Ricotta Cheese, Gorgonzola Piccante Cheese, Mozzarella Cheese, Parmigiano Reggiano Cheese, Garlic	The Four Cheese Pizza			
183	78	ital_cpcllo_m	1	01/02/2015	12:28:14	16	16	M	Classic	Capocollo, Red Peppers, Tomatoes, Goat Cheese, Garlic, Oregano	The Italian Capocollo Pizza			
184	78	spicy_ital_l	3	01/02/2015	12:28:14	20.75	62.25	L	Supreme	Capocollo, Tomatoes, Goat Cheese, Artichokes, Peperoncini verdi, Garlic	The Spicy Italian Pizza			
185	78	thai_ckn_s	1	01/02/2015	12:28:14	12.75	12.75	S	Chicken	Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce	The Thai Chicken Pizza			
186	79	ital_cpcllo_l	1	01/02/2015	12:29:11	20.5	20.5	L	Classic	Capocollo, Red Peppers, Tomatoes, Goat Cheese, Garlic, Oregano	The Italian Capocollo Pizza			
187	79	pep_msh_pep_s	1	01/02/2015	12:29:11	11	11	S	Classic	Pepperoni, Mushrooms, Green Peppers	The Pepperoni, Mushroom, and Peppers Pizza			
188	79	thai_ckn_l	1	01/02/2015	12:29:11	20.75	20.75	L	Chicken	Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce	The Thai Chicken Pizza			
189	80	pepperoni_s	1	01/02/2015	12:35:38	9.75	9.75	S	Classic	Mozzarella Cheese, Pepperoni	The Pepperoni Pizza			
190	80	thai_ckn_m	1	01/02/2015	12:35:38	16.75	16.75	M	Chicken	Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce	The Thai Chicken Pizza			
191	81	thai_ckn_l	1	01/02/2015	12:40:01	20.75	20.75	L	Chicken	Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce	The Thai Chicken Pizza			
192	82	big_meat_s	1	01/02/2015	12:45:51	12	12	S	Classic	Bacon, Pepperoni, Italian Sausage, Chorizo Sausage	The Big Meat Pizza			
193	82	cali_ckn_m	1	01/02/2015	12:45:51	16.75	16.75	M	Chicken	Chicken, Artichoke, Spinach, Garlic, Jalapeno Peppers, Fontina Cheese, Gouda Cheese	The California Chicken Pizza			
194	82	spicy_ital_l	1	01/02/2015	12:45:51	20.75	20.75	L	Supreme	Capocollo, Tomatoes, Goat Cheese, Artichokes, Peperoncini verdi, Garlic	The Spicy Italian Pizza			
195	82	veggie_veg_m	1	01/02/2015	12:45:51	16	16	M	Veggie	Mushrooms, Tomatoes, Red Peppers, Green Peppers, Red Onions, Zucchini, Spinach, Garlic	The Vegetables + Vegetables Pizza			
196	83	southw_ckn_s	1	01/02/2015	12:53:27	12.75	12.75	S	Chicken	Chicken, Tomatoes, Red Peppers, Red Onions, Jalapeno Peppers, Corn, Cilantro, Chipotle Sauce	The Southwest Chicken Pizza			
197	84	pepperoni_l	1	01/02/2015	13:13:41	15.25	15.25	L	Classic	Mozzarella Cheese, Pepperoni	The Pepperoni Pizza			
198	85	classic_dlx_m	1	01/02/2015	13:34:49	16	16	M	Classic	Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon	The Classic Deluxe Pizza			
199	85	classic_dlx_s	1	01/02/2015	13:34:49	12	12	S	Classic	Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon	The Classic Deluxe Pizza			
200	85	ital_supr_l	1	01/02/2015	13:34:49	20.75	20.75	L	Supreme	Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic	The Italian Supreme Pizza			
201	85	the_greek_m	1	01/02/2015	13:34:49	16	16	M	Classic	Kalamata Olives, Feta Cheese, Tomatoes, Garlic, Beef Chuck Roast, Red Onions	The Greek Pizza			
202	86	hawaiian_l	1	01/02/2015	13:40:31	16.5	16.5	L	Classic	Sliced Ham, Pineapple, Mozzarella Cheese	The Hawaiian Pizza			
203	87	ital_cpcllo_m	1	01/02/2015	14:01:02	16	16	M	Classic	Capocollo, Red Peppers, Tomatoes, Goat Cheese, Garlic, Oregano	The Italian Capocollo Pizza			
204	87	mexicana_m	1	01/02/2015	14:01:02	16	16	M	Veggie	Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic	The Mexicana Pizza			
205	87	spinach_supr_l	1	01/02/2015	14:01:02	20.75	20.75	L	Supreme	Spinach, Red Onions, Pepperoni, Tomatoes, Artichokes, Kalamata Olives, Garlic, Asiago Cheese	The Spinach Supreme Pizza			
206	87	spinach_supr_s	1	01/02/2015	14:01:02	12.5	12.5	S	Supreme	Spinach, Red Onions, Pepperoni, Tomatoes, Artichokes, Kalamata Olives, Garlic, Asiago Cheese	The Spinach Supreme Pizza			
207	88	five_cheese_l	1	01/02/2015	14:10:08	18.5	18.5	L	Veggie	Mozzarella Cheese, Provolone Cheese, Smoked Gouda Cheese, Romano Cheese, Blue Cheese, Garlic	The Five Cheese Pizza			
208	89	soppressata_l	1	01/02/2015	14:30:19	20.75	20.75	L	Supreme	Soppressata Salami, Fontina Cheese, Mozzarella Cheese, Mushrooms, Garlic	The Soppressata Pizza			
209	89	thai_ckn_l	1	01/02/2015	14:30:19	20.75	20.75	L	Chicken	Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce	The Thai Chicken Pizza			
210	90	sicilian_l	1	01/02/2015	15:08:48	20.25	20.25	L	Supreme	Coarse Sicilian Salami, Tomatoes, Green Olives, Luganega Sausage, Onions, Garlic	The Sicilian Pizza			
211	90	thai_ckn_s	1	01/02/2015	15:08:48	12.75	12.75	S	Chicken	Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce	The Thai Chicken Pizza			
212	91	bbq_ckn_l	2	01/02/2015	15:14:43	20.75	41.5	L	Chicken	Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce	The Barbecue Chicken Pizza			
213	91	ckn_pesto_s	1	01/02/2015	15:14:43	12.75	12.75	S	Chicken	Chicken, Tomatoes, Red Peppers, Spinach, Garlic, Pesto Sauce	The Chicken Pesto Pizza			
214	91	pepperoni_s	1	01/02/2015	15:14:43	9.75	9.75	S	Classic	Mozzarella Cheese, Pepperoni	The Pepperoni Pizza			
215	92	bbq_ckn_m	1	01/02/2015	15:17:02	16.75	16.75	M	Chicken	Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce	The Barbecue Chicken Pizza			
216	92	ital_supr_l	1	01/02/2015	15:17:02	20.75	20.75	L	Supreme	Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic	The Italian Supreme Pizza			
217	92	ital_supr_m	1	01/02/2015	15:17:02	16.5	16.5	M	Supreme	Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic	The Italian Supreme Pizza			
218	92	ital_veggie_s	1	01/02/2015	15:17:02	12.75	12.75	S	Veggie	Eggplant, Artichokes, Tomatoes, Zucchini, Red Peppers, Garlic, Pesto Sauce	The Italian Vegetables Pizza			
219	92	pepperoni_m	1	01/02/2015	15:17:02	12.5	12.5	M	Classic	Mozzarella Cheese, Pepperoni	The Pepperoni Pizza			
220	92	peppr_salami_m	1	01/02/2015	15:17:02	16.5	16.5	M	Supreme	Genoa Salami, Capocollo, Pepperoni, Tomatoes, Asiago Cheese, Garlic	The Pepper Salami Pizza			
221	92	spinach_fet_s	1	01/02/2015	15:17:02	12	12	S	Veggie	Spinach, Mushrooms, Red Onions, Feta Cheese, Garlic	The Spinach and Feta Pizza			
222	92	spinach_supr_s	1	01/02/2015	15:17:02	12.5	12.5	S	Supreme	Spinach, Red Onions, Pepperoni, Tomatoes, Artichokes, Kalamata Olives, Garlic, Asiago Cheese	The Spinach Supreme Pizza			
223	92	the_greek_m	2	01/02/2015	15:17:02	16	32	M	Classic	Kalamata Olives, Feta Cheese, Tomatoes, Garlic, Beef Chuck Roast, Red Onions	The Greek Pizza			
224	93	sicilian_m	1	01/02/2015	15:29:31	16.25	16.25	M	Supreme	Coarse Sicilian Salami, Tomatoes, Green Olives, Luganega Sausage, Onions, Garlic	The Sicilian Pizza			
225	94	ital_cpcllo_m	1	01/02/2015	16:17:16	16	16	M	Classic	Capocollo, Red Peppers, Tomatoes, Goat Cheese, Garlic, Oregano	The Italian Capocollo Pizza			
226	94	southw_ckn_s	1	01/02/2015	16:17:16	12.75	12.75	S	Chicken	Chicken, Tomatoes, Red Peppers, Red Onions, Jalapeno Peppers, Corn, Cilantro, Chipotle Sauce	The Southwest Chicken Pizza			
227	95	napolitana_s	1	01/02/2015	16:18:04	12	12	S	Classic	Tomatoes, Anchovies, Green Olives, Red Onions, Garlic	The Napolitana Pizza			
228	95	peppr_salami_l	1	01/02/2015	16:18:04	20.75	20.75	L	Supreme	Genoa Salami, Capocollo, Pepperoni, Tomatoes, Asiago Cheese, Garlic	The Pepper Salami Pizza			
229	96	napolitana_s	1	01/02/2015	16:21:20	12	12	S	Classic	Tomatoes, Anchovies, Green Olives, Red Onions, Garlic	The Napolitana Pizza			
230	97	big_meat_s	1	01/02/2015	16:45:33	12	12	S	Classic	Bacon, Pepperoni, Italian Sausage, Chorizo Sausage	The Big Meat Pizza			
231	98	classic_dlx_l	1	01/02/2015	17:18:18	20.5	20.5	L	Classic	Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon	The Classic Deluxe Pizza			
232	98	napolitana_l	1	01/02/2015	17:18:18	20.5	20.5	L	Classic	Tomatoes, Anchovies, Green Olives, Red Onions, Garlic	The Napolitana Pizza			
233	99	ital_supr_l	1	01/02/2015	17:45:42	20.75	20.75	L	Supreme	Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic	The Italian Supreme Pizza			
234	100	hawaiian_l	1	01/02/2015	17:46:17	16.5	16.5	L	Classic	Sliced Ham, Pineapple, Mozzarella Cheese	The Hawaiian Pizza			
235	101	cali_ckn_l	1	01/02/2015	17:51:33	20.75	20.75	L	Chicken	Chicken, Artichoke, Spinach, Garlic, Jalapeno Peppers, Fontina Cheese, Gouda Cheese	The California Chicken Pizza			
236	101	pepperoni_l	1	01/02/2015	17:51:33	15.25	15.25	L	Classic	Mozzarella Cheese, Pepperoni	The Pepperoni Pizza			
237	101	soppressata_l	1	01/02/2015	17:51:33	20.75	20.75	L	Supreme	Soppressata Salami, Fontina Cheese, Mozzarella Cheese, Mushrooms, Garlic	The Soppressata Pizza			
238	101	spicy_ital_m	1	01/02/2015	17:51:33	16.5	16.5	M	Supreme	Capocollo, Tomatoes, Goat Cheese, Artichokes, Peperoncini verdi, Garlic	The Spicy Italian Pizza			
239	102	bbq_ckn_s	1	01/02/2015	17:54:04	12.75	12.75	S	Chicken	Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce	The Barbecue Chicken Pizza			
240	102	prsc_argla_s	1	01/02/2015	17:54:04	12.5	12.5	S	Supreme	Prosciutto di San Daniele, Arugula, Mozzarella Cheese	The Prosciutto and Arugula Pizza			
241	103	spinach_supr_s	1	01/02/2015	18:02:09	12.5	12.5	S	Supreme	Spinach, Red Onions, Pepperoni, Tomatoes, Artichokes, Kalamata Olives, Garlic, Asiago Cheese	The Spinach Supreme Pizza			
242	104	bbq_ckn_m	1	01/02/2015	18:02:12	16.75	16.75	M	Chicken	Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce	The Barbecue Chicken Pizza			
243	104	ckn_alfredo_m	1	01/02/2015	18:02:12	16.75	16.75	M	Chicken	Chicken, Red Onions, Red Peppers, Mushrooms, Asiago Cheese, Alfredo Sauce	The Chicken Alfredo Pizza			
244	104	ital_veggie_m	1	01/02/2015	18:02:12	16.75	16.75	M	Veggie	Eggplant, Artichokes, Tomatoes, Zucchini, Red Peppers, Garlic, Pesto Sauce	The Italian Vegetables Pizza			
245	104	veggie_veg_l	1	01/02/2015	18:02:12	20.25	20.25	L	Veggie	Mushrooms, Tomatoes, Red Peppers, Green Peppers, Red Onions, Zucchini, Spinach, Garlic	The Vegetables + Vegetables Pizza			
246	105	hawaiian_s	2	01/02/2015	18:12:01	10.5	21	S	Classic	Sliced Ham, Pineapple, Mozzarella Cheese	The Hawaiian Pizza			
247	105	pepperoni_l	1	01/02/2015	18:12:01	15.25	15.25	L	Classic	Mozzarella Cheese, Pepperoni	The Pepperoni Pizza			
248	105	prsc_argla_m	1	01/02/2015	18:12:01	16.5	16.5	M	Supreme	Prosciutto di San Daniele, Arugula, Mozzarella Cheese	The Prosciutto and Arugula Pizza			
249	106	mexicana_l	1	01/02/2015	18:12:13	20.25	20.25	L	Veggie	Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic	The Mexicana Pizza			
250	106	spicy_ital_l	1	01/02/2015	18:12:13	20.75	20.75	L	Supreme	Capocollo, Tomatoes, Goat Cheese, Artichokes, Peperoncini verdi, Garlic	The Spicy Italian Pizza			
251	107	cali_ckn_l	1	01/02/2015	18:25:09	20.75	20.75	L	Chicken	Chicken, Artichoke, Spinach, Garlic, Jalapeno Peppers, Fontina Cheese, Gouda Cheese	The California Chicken Pizza			
252	107	ital_supr_m	1	01/02/2015	18:25:09	16.5	16.5	M	Supreme	Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic	The Italian Supreme Pizza			
253	107	spicy_ital_l	1	01/02/2015	18:25:09	20.75	20.75	L	Supreme	Capocollo, Tomatoes, Goat Cheese, Artichokes, Peperoncini verdi, Garlic	The Spicy Italian Pizza			
254	107	veggie_veg_l	1	01/02/2015	18:25:09	20.25	20.25	L	Veggie	Mushrooms, Tomatoes, Red Peppers, Green Peppers, Red Onions, Zucchini, Spinach, Garlic	The Vegetables + Vegetables Pizza			
255	108	classic_dlx_l	1	01/02/2015	18:25:25	20.5	20.5	L	Classic	Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon	The Classic Deluxe Pizza			
256	108	hawaiian_l	1	01/02/2015	18:25:25	16.5	16.5	L	Classic	Sliced Ham, Pineapple, Mozzarella Cheese	The Hawaiian Pizza			
257	108	spinach_supr_l	1	01/02/2015	18:25:25	20.75	20.75	L	Supreme	Spinach, Red Onions, Pepperoni, Tomatoes, Artichokes, Kalamata Olives, Garlic, Asiago Cheese	The Spinach Supreme Pizza			
258	109	ital_cpcllo_l	1	01/02/2015	18:27:50	20.5	20.5	L	Classic	Capocollo, Red Peppers, Tomatoes, Goat Cheese, Garlic, Oregano	The Italian Capocollo Pizza			
259	109	ital_supr_l	1	01/02/2015	18:27:50	20.75	20.75	L	Supreme	Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic	The Italian Supreme Pizza			
260	109	pepperoni_m	1	01/02/2015	18:27:50	12.5	12.5	M	Classic	Mozzarella Cheese, Pepperoni	The Pepperoni Pizza			
261	109	prsc_argla_l	1	01/02/2015	18:27:50	20.75	20.75	L	Supreme	Prosciutto di San Daniele, Arugula, Mozzarella Cheese	The Prosciutto and Arugula Pizza			
262	110	big_meat_s	1	01/02/2015	18:36:19	12	12	S	Classic	Bacon, Pepperoni, Italian Sausage, Chorizo Sausage	The Big Meat Pizza			
263	110	napolitana_l	1	01/02/2015	18:36:19	20.5	20.5	L	Classic	Tomatoes, Anchovies, Green Olives, Red Onions, Garlic	The Napolitana Pizza			
264	110	soppressata_l	1	01/02/2015	18:36:19	20.75	20.75	L	Supreme	Soppressata Salami, Fontina Cheese, Mozzarella Cheese, Mushrooms, Garlic	The Soppressata Pizza			
265	110	spicy_ital_s	1	01/02/2015	18:36:19	12.5	12.5	S	Supreme	Capocollo, Tomatoes, Goat Cheese, Artichokes, Peperoncini verdi, Garlic	The Spicy Italian Pizza			
266	111	cali_ckn_m	1	01/02/2015	18:38:01	16.75	16.75	M	Chicken	Chicken, Artichoke, Spinach, Garlic, Jalapeno Peppers, Fontina Cheese, Gouda Cheese	The California Chicken Pizza			
267	111	five_cheese_l	1	01/02/2015	18:38:01	18.5	18.5	L	Veggie	Mozzarella Cheese, Provolone Cheese, Smoked Gouda Cheese, Romano Cheese, Blue Cheese, Garlic	The Five Cheese Pizza			
268	111	pepperoni_m	1	01/02/2015	18:38:01	12.5	12.5	M	Classic	Mozzarella Cheese, Pepperoni	The Pepperoni Pizza			
269	111	spin_pesto_l	1	01/02/2015	18:38:01	20.75	20.75	L	Veggie	Spinach, Artichokes, Tomatoes, Sun-dried Tomatoes, Garlic, Pesto Sauce	The Spinach Pesto Pizza			
270	112	pepperoni_s	1	01/02/2015	18:41:40	9.75	9.75	S	Classic	Mozzarella Cheese, Pepperoni	The Pepperoni Pizza			
271	113	cali_ckn_l	1	01/02/2015	18:50:21	20.75	20.75	L	Chicken	Chicken, Artichoke, Spinach, Garlic, Jalapeno Peppers, Fontina Cheese, Gouda Cheese	The California Chicken Pizza			
272	113	mexicana_l	1	01/02/2015	18:50:21	20.25	20.25	L	Veggie	Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic	The Mexicana Pizza			
273	113	southw_ckn_m	1	01/02/2015	18:50:21	16.75	16.75	M	Chicken	Chicken, Tomatoes, Red Peppers, Red Onions, Jalapeno Peppers, Corn, Cilantro, Chipotle Sauce	The Southwest Chicken Pizza			
274	114	pepperoni_l	1	01/02/2015	18:59:32	15.25	15.25	L	Classic	Mozzarella Cheese, Pepperoni	The Pepperoni Pizza			
275	114	sicilian_s	1	01/02/2015	18:59:32	12.25	12.25	S	Supreme	Coarse Sicilian Salami, Tomatoes, Green Olives, Luganega Sausage, Onions, Garlic	The Sicilian Pizza			
276	115	big_meat_s	1	01/02/2015	19:05:17	12	12	S	Classic	Bacon, Pepperoni, Italian Sausage, Chorizo Sausage	The Big Meat Pizza			
277	115	napolitana_l	1	01/02/2015	19:05:17	20.5	20.5	L	Classic	Tomatoes, Anchovies, Green Olives, Red Onions, Garlic	The Napolitana Pizza			
278	115	thai_ckn_m	1	01/02/2015	19:05:17	16.75	16.75	M	Chicken	Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce	The Thai Chicken Pizza			
279	116	five_cheese_l	1	01/02/2015	19:18:49	18.5	18.5	L	Veggie	Mozzarella Cheese, Provolone Cheese, Smoked Gouda Cheese, Romano Cheese, Blue Cheese, Garlic	The Five Cheese Pizza			
280	117	peppr_salami_m	1	01/02/2015	19:23:02	16.5	16.5	M	Supreme	Genoa Salami, Capocollo, Pepperoni, Tomatoes, Asiago Cheese, Garlic	The Pepper Salami Pizza			
281	117	sicilian_l	1	01/02/2015	19:23:02	20.25	20.25	L	Supreme	Coarse Sicilian Salami, Tomatoes, Green Olives, Luganega Sausage, Onions, Garlic	The Sicilian Pizza			
282	118	prsc_argla_l	1	01/02/2015	19:26:59	20.75	20.75	L	Supreme	Prosciutto di San Daniele, Arugula, Mozzarella Cheese	The Prosciutto and Arugula Pizza			
283	118	spinach_fet_s	1	01/02/2015	19:26:59	12	12	S	Veggie	Spinach, Mushrooms, Red Onions, Feta Cheese, Garlic	The Spinach and Feta Pizza			
284	119	four_cheese_m	1	01/02/2015	19:32:29	14.75	14.75	M	Veggie	Ricotta Cheese, Gorgonzola Piccante Cheese, Mozzarella Cheese, Parmigiano Reggiano Cheese, Garlic	The Four Cheese Pizza			
285	120	classic_dlx_s	1	01/02/2015	19:35:07	12	12	S	Classic	Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon	The Classic Deluxe Pizza			
286	120	hawaiian_s	1	01/02/2015	19:35:07	10.5	10.5	S	Classic	Sliced Ham, Pineapple, Mozzarella Cheese	The Hawaiian Pizza			
287	120	spinach_fet_l	1	01/02/2015	19:35:07	20.25	20.25	L	Veggie	Spinach, Mushrooms, Red Onions, Feta Cheese, Garlic	The Spinach and Feta Pizza			
288	121	bbq_ckn_m	1	01/02/2015	19:38:48	16.75	16.75	M	Chicken	Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce	The Barbecue Chicken Pizza			
289	121	four_cheese_l	1	01/02/2015	19:38:48	17.95	17.95	L	Veggie	Ricotta Cheese, Gorgonzola Piccante Cheese, Mozzarella Cheese, Parmigiano Reggiano Cheese, Garlic	The Four Cheese Pizza			
